variantId,model,pn,sourceSheet,sourceRow,isCurrentCampaign,primaryErrorCode,allErrorCodes,rawTextExcerpt,rootCause,requiredAction
TAB-R21-ADDON-KEYBOARD,"Galaxy Tab A11+  WiFi  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,โปร และ เงื่อนไขการตัดขาย,21,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R22-ADDON-KEYBOARD,"Galaxy Tab A11+  5G  (NEW)
(ใช้ร่วมกับ SF+ ได้)",N/A,โปร และ เงื่อนไขการตัดขาย,22,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R23-ADDON-KEYBOARD,"Galaxy Tab A11+  WiFi  (NEW)
(ใช้ร่วมกับ SF+ ได้)",N/A,โปร และ เงื่อนไขการตัดขาย,23,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R24-ADDON-KEYBOARD,"Galaxy Tab A11 LTE  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,โปร และ เงื่อนไขการตัดขาย,24,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R25-ADDON-KEYBOARD,"Galaxy Tab A11 LTE  (NEW)
(ใช้ร่วมกับ SF+ ได้)",N/A,โปร และ เงื่อนไขการตัดขาย,25,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R26-STANDARD_PAYMENT,Watch Ultra 2,N/A,โปร และ เงื่อนไขการตัดขาย,26,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R27-STANDARD_PAYMENT,Watch Ultra (64GB),N/A,โปร และ เงื่อนไขการตัดขาย,27,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R28-STANDARD_PAYMENT,Watch Ultra (32GB),N/A,โปร และ เงื่อนไขการตัดขาย,28,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R29-STANDARD_PAYMENT,Watch8 Classic - LTE,N/A,โปร และ เงื่อนไขการตัดขาย,29,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R30-STANDARD_PAYMENT,Watch8 Classic - BT,N/A,โปร และ เงื่อนไขการตัดขาย,30,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R31-STANDARD_PAYMENT,Watch9 44mm,N/A,โปร และ เงื่อนไขการตัดขาย,31,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R32-STANDARD_PAYMENT,Watch9 40mm,N/A,โปร และ เงื่อนไขการตัดขาย,32,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R33-STANDARD_PAYMENT,Watch8 44mm,N/A,โปร และ เงื่อนไขการตัดขาย,33,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R34-STANDARD_PAYMENT,Watch8 40mm,N/A,โปร และ เงื่อนไขการตัดขาย,34,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R35-STANDARD_PAYMENT,Buds4 Pro Black,N/A,โปร และ เงื่อนไขการตัดขาย,35,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R36-STANDARD_PAYMENT,Buds4 Pro White,N/A,โปร และ เงื่อนไขการตัดขาย,36,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R37-STANDARD_PAYMENT,Buds4 Pro Pink,N/A,โปร และ เงื่อนไขการตัดขาย,37,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R38-STANDARD_PAYMENT,Buds4  Black,N/A,โปร และ เงื่อนไขการตัดขาย,38,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R39-STANDARD_PAYMENT,Buds4  White,N/A,โปร และ เงื่อนไขการตัดขาย,39,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R40-STANDARD_PAYMENT,Buds3 FE,N/A,โปร และ เงื่อนไขการตัดขาย,40,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R42-STANDARD_PAYMENT,Ring,N/A,โปร และ เงื่อนไขการตัดขาย,42,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R44-STANDARD_PAYMENT,SmartTag2,N/A,โปร และ เงื่อนไขการตัดขาย,44,YES (CURRENT_BATCH),MISSING_NET_PRICE,MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R45-STANDARD_PAYMENT,Flip7 / Fold7,N/A,โปร และ เงื่อนไขการตัดขาย,45,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R46-STANDARD_PAYMENT,S25 / S25+,N/A,โปร และ เงื่อนไขการตัดขาย,46,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R47-STANDARD_PAYMENT,A56 / A36,N/A,โปร และ เงื่อนไขการตัดขาย,47,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R48-STANDARD_PAYMENT,S25 FE,N/A,โปร และ เงื่อนไขการตัดขาย,48,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R49-STANDARD_PAYMENT,S25 Ultra,N/A,โปร และ เงื่อนไขการตัดขาย,49,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R50-STANDARD_PAYMENT,S26 Series,N/A,โปร และ เงื่อนไขการตัดขาย,50,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R51-STANDARD_PAYMENT,A57 / A37,N/A,โปร และ เงื่อนไขการตัดขาย,51,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R52-STANDARD_PAYMENT,"Watch Band and Buds Case
(Watch Ultra Band & Watch7 Band & Oder model / Buds3 Case",N/A,โปร และ เงื่อนไขการตัดขาย,52,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
TAB-R53-STANDARD_PAYMENT,Watch8 Band,N/A,โปร และ เงื่อนไขการตัดขาย,53,YES (CURRENT_BATCH),MISSING_RRP,MISSING_RRP;MISSING_NET_PRICE,,Required price field (RRP or Net Price) is blank or missing,Supply missing price figures in source Excel table
ACC-ERR-R70,,N/A,โปร และ เงื่อนไขการตัดขาย,70,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R71,,N/A,โปร และ เงื่อนไขการตัดขาย,71,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R72,,N/A,โปร และ เงื่อนไขการตัดขาย,72,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R73,,N/A,โปร และ เงื่อนไขการตัดขาย,73,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R74,,N/A,โปร และ เงื่อนไขการตัดขาย,74,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R75,,N/A,โปร และ เงื่อนไขการตัดขาย,75,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R76,,N/A,โปร และ เงื่อนไขการตัดขาย,76,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R77,,N/A,โปร และ เงื่อนไขการตัดขาย,77,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R78,,N/A,โปร และ เงื่อนไขการตัดขาย,78,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R79,,N/A,โปร และ เงื่อนไขการตัดขาย,79,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R80,,N/A,โปร และ เงื่อนไขการตัดขาย,80,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R81,,N/A,โปร และ เงื่อนไขการตัดขาย,81,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R82,,N/A,โปร และ เงื่อนไขการตัดขาย,82,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R83,,N/A,โปร และ เงื่อนไขการตัดขาย,83,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R84,,N/A,โปร และ เงื่อนไขการตัดขาย,84,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R85,,N/A,โปร และ เงื่อนไขการตัดขาย,85,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R86,,N/A,โปร และ เงื่อนไขการตัดขาย,86,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R87,,N/A,โปร และ เงื่อนไขการตัดขาย,87,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R88,,N/A,โปร และ เงื่อนไขการตัดขาย,88,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R89,,N/A,โปร และ เงื่อนไขการตัดขาย,89,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R90,,N/A,โปร และ เงื่อนไขการตัดขาย,90,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R91,,N/A,โปร และ เงื่อนไขการตัดขาย,91,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R92,,N/A,โปร และ เงื่อนไขการตัดขาย,92,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R93,,N/A,โปร และ เงื่อนไขการตัดขาย,93,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R94,,N/A,โปร และ เงื่อนไขการตัดขาย,94,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R95,,N/A,โปร และ เงื่อนไขการตัดขาย,95,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R96,,N/A,โปร และ เงื่อนไขการตัดขาย,96,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R97,,N/A,โปร และ เงื่อนไขการตัดขาย,97,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R98,,N/A,โปร และ เงื่อนไขการตัดขาย,98,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R99,,N/A,โปร และ เงื่อนไขการตัดขาย,99,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R100,,N/A,โปร และ เงื่อนไขการตัดขาย,100,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R101,,N/A,โปร และ เงื่อนไขการตัดขาย,101,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R102,,N/A,โปร และ เงื่อนไขการตัดขาย,102,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R103,,N/A,โปร และ เงื่อนไขการตัดขาย,103,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R104,,N/A,โปร และ เงื่อนไขการตัดขาย,104,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R105,,N/A,โปร และ เงื่อนไขการตัดขาย,105,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R106,,N/A,โปร และ เงื่อนไขการตัดขาย,106,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R107,,N/A,โปร และ เงื่อนไขการตัดขาย,107,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R108,,N/A,โปร และ เงื่อนไขการตัดขาย,108,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
ACC-ERR-R109,,N/A,โปร และ เงื่อนไขการตัดขาย,109,YES (CURRENT_BATCH),SOURCE_FORMULA_ERROR,SOURCE_FORMULA_ERROR,#ERROR!,"Upstream Excel formula error (#ERROR!, #REF!, #VALUE!) in discount or price cell",Correct raw Excel formula in sheet 'โปร และ เงื่อนไขการตัดขาย' and re-run parser
