variantId,model,P/N Masked,productCodeType,saleMode,errorCode,errorExplanation,sourceFileDisplayName,sourceSheet,sourceRow,rawTextExcerpt,requiredAction
RET- 7 Aug-R21-TRADEUP,Galaxy Z Fold8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 7 Aug - 12 Aug,21,,Historical expired record - no retail remediation required
RET- 7 Aug-R22-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 7 Aug - 12 Aug,22,,Historical expired record - no retail remediation required
RET- 7 Aug-R23-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 7 Aug - 12 Aug,23,,Historical expired record - no retail remediation required
RET- 3 -6 -R16-TRADEUP,Galaxy Z Fold8 Ultra,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 3 -6 Aug ,16,,Historical expired record - no retail remediation required
RET- 3 -6 -R17-TRADEUP,Galaxy Z Fold8 Ultra,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 3 -6 Aug ,17,,Historical expired record - no retail remediation required
RET- 3 -6 -R18-TRADEUP,Galaxy Z Fold8 Ultra,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 3 -6 Aug ,18,,Historical expired record - no retail remediation required
RET- 3 -6 -R19-TRADEUP,Galaxy Z Fold8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 3 -6 Aug ,19,,Historical expired record - no retail remediation required
RET- 3 -6 -R20-TRADEUP,Galaxy Z Fold8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 3 -6 Aug ,20,,Historical expired record - no retail remediation required
RET- 3 -6 -R21-TRADEUP,Galaxy Z Fold8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 3 -6 Aug ,21,,Historical expired record - no retail remediation required
RET- 3 -6 -R22-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 3 -6 Aug ,22,,Historical expired record - no retail remediation required
RET- 3 -6 -R23-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 3 -6 Aug ,23,,Historical expired record - no retail remediation required
