Variant ID,Gift Name,Header Date In Source,Effective Start,Effective End,Temporal Status,Validation Status,Eligible For 2026,Action Taken
PREM-2025-R13,Premium Wireless Home bluetooth  Speaker Little  มูลค่า 699,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R14,Premium Wireless Home bluetooth  Speaker Tinny  มูลค่า 699,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R15,Premium SAMSUNG Phoenix Backpack  มูลค่า 399,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R16,"[PM] Power Bank V-104 Pro (10,400 mAh) D-Power  มูลค่า 890",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R17,Premium D-Power M22 Speaker Bluetooth มูลค่า 599,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R18,[PM] Umbrella UV Mini Youmi Black มูลค่า 359,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R19,Premium Powerbank GC1005 PD3.0 22.5W (10000 mAh)-SAMSUNG  มูลค่า 699,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R20,"Premium  D-Power HP-33
(Wireless 
Headphone) มูลค่า 799",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R21,"[PM]Jisulife FA55 Handheld Fan Ultra1 - Brown  มูลค่า 1,890",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R22,"[PM]Jisulife FA55 Handheld Fan Ultra1 - Grey มูลค่า 1,890",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R23,"[PM]JBL CLIP 5  มูลค่า 2,790",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R24,"Wireless Charger SAMSUNG  มูลค่า 1,990",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R25,"Adam Element iKlips S USB-C Nano Fingerprint SSD 256 GB  มูลค่า 1,990",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R26,Premium S28 Pocket Power Bank 5200 mAh  มูลค่า 990,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R27,"[PM]JBL GO 4 มูลค่า 1,990",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R28,"[PM]JBL CLIP 5  มูลค่า 2,790",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R29,"[PM]Jisulife FA55 Handheld Fan Ultra1 - Brown  มูลค่า 1,890",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R30,"[PM]Jisulife FA55 Handheld Fan Ultra1 - Grey มูลค่า 1,890",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R31,"[PM] Portable Photo Printer (26152) มูลค่า 2,299",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R32,"Adam Element Mag Z Magnetic 3-in-1 Foldable Travel Charging Station-Black  มูลค่า 2,990",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R33,"Adam Element Mag Z Magnetic 3-in-1 Foldable Travel Charging Station-Titanium   มูลค่า 2,990",อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R34,[PM]Adam Element GRAVITY F5C Pocket Power Bank 5K-Black มูลค่า 890,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
