Variant ID,Previous Status,Current Status,Status Changed,Reason,Error Code,Source File,Source Sheet,Source Row
RET-อัพเดท-R31-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,31
RET-อัพเดท-R31-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,31
RET-อัพเดท-R32-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,32
RET-อัพเดท-R32-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,32
RET-อัพเดท-R33-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,33
RET-อัพเดท-R33-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,33
RET-อัพเดท-R34-STANDARD_PAYMENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,34
RET-อัพเดท-R34-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,34
RET-อัพเดท-R35-STANDARD_PAYMENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,35
RET-อัพเดท-R35-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,35
RET-อัพเดท-R36-STANDARD_PAYMENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,36
RET-อัพเดท-R36-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,36
RET-อัพเดท-R37-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,37
RET-อัพเดท-R37-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,37
RET-อัพเดท-R38-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,38
RET-อัพเดท-R39-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,39
RET-อัพเดท-R39-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,39
RET-อัพเดท-R39-FLASHSALE,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,39
RET-อัพเดท-R40-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,40
RET-อัพเดท-R41-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,41
RET-อัพเดท-R42-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,42
RET-อัพเดท-R43-STANDARD_PAYMENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,43
RET-อัพเดท-R43-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,43
RET-อัพเดท-R44-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,44
RET-อัพเดท-R45-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,45
RET-อัพเดท-R46-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,46
RET-19 -27-R4-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,4
RET-19 -27-R4-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,4
RET-19 -27-R4-FLASHSALE,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,4
RET-19 -27-R5-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,5
RET-19 -27-R5-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,5
RET-19 -27-R5-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,5
RET-19 -27-R5-FLASHSALE,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,5
RET-19 -27-R6-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,6
RET-19 -27-R6-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,6
RET-19 -27-R6-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,6
RET-19 -27-R6-FLASHSALE,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,6
RET-19 -27-R7-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,7
RET-19 -27-R8-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,8
RET-19 -27-R9-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,9
RET-19 -27-R10-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,10
RET-19 -27-R11-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,11
RET-19 -27-R12-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,12
RET-19 -27-R12-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,12
RET-19 -27-R13-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,13
RET-19 -27-R13-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,13
RET-19 -27-R14-STANDARD_PAYMENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,14
RET-19 -27-R15-STANDARD_PAYMENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,15
RET-19 -27-R16-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,16
RET-19 -27-R17-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,17
RET-19 -27-R18-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,18
RET-19 -27-R19-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,19
RET-19 -27-R20-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,20
RET-19 -27-R21-TRADEUP,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,21
RET-19 -27-R22-TRADEUP,BLOCKED_INVALID,BLOCKED_INVALID,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,PRICE_EQUATION_MISMATCH,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,22
RET-19 -27-R23-TRADEUP,BLOCKED_INVALID,BLOCKED_INVALID,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,PRICE_EQUATION_MISMATCH,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,23
RET-19 -27-R24-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,24
RET-19 -27-R25-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,25
RET-19 -27-R26-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,26
RET-19 -27-R27-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,27
RET-19 -27-R28-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,28
RET-19 -27-R29-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,29
RET-19 -27-R29-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,29
RET-19 -27-R30-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,30
RET-19 -27-R30-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,30
RET-19 -27-R31-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,31
RET-19 -27-R31-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,31
RET-19 -27-R32-STANDARD_PAYMENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,32
RET-19 -27-R32-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,32
RET-19 -27-R33-STANDARD_PAYMENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,33
RET-19 -27-R33-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,33
RET-19 -27-R34-STANDARD_PAYMENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,34
RET-19 -27-R34-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,34
RET-19 -27-R35-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,35
RET-19 -27-R35-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,35
RET-19 -27-R36-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,36
RET-19 -27-R37-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,37
RET-19 -27-R37-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,37
RET-19 -27-R37-FLASHSALE,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,37
RET-19 -27-R38-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,38
RET-19 -27-R39-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,39
RET-19 -27-R40-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,40
RET-19 -27-R41-STANDARD_PAYMENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,41
RET-19 -27-R41-STUDENT,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,41
RET-19 -27-R42-SF_PLUS,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,42
