Variant ID,P/N,Product Code Type,Model,Capacity,RRP,Sale Mode,Trade Up Discount,Net Price,Source File,Source Sheet,Source Row,Evidence Finding
RET-19 -27-R19-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,1TB,85900.0,TRADE_UP,7000.0,78900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,19,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-19 -27-R20-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,512GB,69900.0,TRADE_UP,5000.0,64900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,20,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-19 -27-R21-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,256GB,61900.0,TRADE_UP,5000.0,56900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,21,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-19 -27-R22-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,512GB,50900.0,TRADE_UP,5000.0,45900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,22,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-19 -27-R23-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,256GB,42900.0,TRADE_UP,5000.0,37900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,23,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 17-18-R16-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,1TB,93900.0,TRADE_UP,7000.0,86900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 17-18  Aug,16,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 17-18-R17-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,512GB,77900.0,TRADE_UP,5000.0,72900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 17-18  Aug,17,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 17-18-R18-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,256GB,69900.0,TRADE_UP,5000.0,64900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 17-18  Aug,18,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 17-18-R19-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,1TB,85900.0,TRADE_UP,7000.0,78900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 17-18  Aug,19,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 17-18-R20-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,512GB,69900.0,TRADE_UP,5000.0,64900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 17-18  Aug,20,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 17-18-R21-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,256GB,61900.0,TRADE_UP,5000.0,56900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 17-18  Aug,21,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 17-18-R22-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,512GB,50900.0,TRADE_UP,5000.0,45900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 17-18  Aug,22,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 17-18-R23-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,256GB,42900.0,TRADE_UP,5000.0,37900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 17-18  Aug,23,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 14 Au-R16-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,1TB,93900.0,TRADE_UP,7000.0,86900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 14 Aug -16 Aug,16,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 14 Au-R17-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,512GB,77900.0,TRADE_UP,5000.0,72900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 14 Aug -16 Aug,17,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 14 Au-R18-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,256GB,69900.0,TRADE_UP,5000.0,64900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 14 Aug -16 Aug,18,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 14 Au-R19-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,1TB,85900.0,TRADE_UP,7000.0,78900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 14 Aug -16 Aug,19,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 14 Au-R20-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,512GB,69900.0,TRADE_UP,5000.0,64900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 14 Aug -16 Aug,20,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 14 Au-R21-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,256GB,61900.0,TRADE_UP,5000.0,56900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 14 Aug -16 Aug,21,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 14 Au-R22-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,512GB,50900.0,TRADE_UP,5000.0,45900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 14 Aug -16 Aug,22,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 14 Au-R23-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,256GB,42900.0,TRADE_UP,5000.0,37900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 14 Aug -16 Aug,23,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 7 Aug-R16-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,1TB,93900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 7 Aug - 12 Aug,16,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 7 Aug-R17-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,512GB,77900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 7 Aug - 12 Aug,17,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 7 Aug-R18-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,256GB,69900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 7 Aug - 12 Aug,18,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 7 Aug-R19-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,1TB,85900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 7 Aug - 12 Aug,19,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 7 Aug-R20-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,512GB,69900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 7 Aug - 12 Aug,20,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 7 Aug-R21-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,256GB,61900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 7 Aug - 12 Aug,21,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 7 Aug-R22-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,512GB,50900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 7 Aug - 12 Aug,22,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 7 Aug-R23-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,256GB,42900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 7 Aug - 12 Aug,23,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 3 -6 -R16-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,1TB,93900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 3 -6 Aug ,16,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 3 -6 -R17-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,512GB,77900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 3 -6 Aug ,17,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 3 -6 -R18-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,256GB,69900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 3 -6 Aug ,18,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 3 -6 -R19-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,1TB,85900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 3 -6 Aug ,19,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 3 -6 -R20-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,512GB,69900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 3 -6 Aug ,20,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 3 -6 -R21-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,256GB,61900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 3 -6 Aug ,21,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 3 -6 -R22-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,512GB,50900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 3 -6 Aug ,22,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET- 3 -6 -R23-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,256GB,42900.0,TRADE_UP,5000.0,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx, 3 -6 Aug ,23,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-SM-F741B256TH,SM-F741B256TH,STANDARD_SM,Galaxy Z Flip8 256GB,256GB,42900.0,TRADE_UP,5000.0,37900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-SM-F741B512TH,SM-F741B512TH,STANDARD_SM,Galaxy Z Flip8 512GB,512GB,50900.0,TRADE_UP,5000.0,45900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-F-NS741B256TH,F-NS741B256TH,PASS_F,Galaxy Z Flip8 256GB (พาส F),256GB,42900.0,TRADE_UP,5000.0,37900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-F-SPECIAL-F-NS741B256TH,F-NS741B256TH,PASS_F,Galaxy Z Flip8 256GB (พาส F),256GB,42900.0,STANDARD_PAYMENT,0,42900.0,business_rules.json,BR-22-ZFLIP8-PASS-F,2,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-F-NS741B512TH,F-NS741B512TH,PASS_F,Galaxy Z Flip8 512GB (พาส F),512GB,50900.0,TRADE_UP,5000.0,45900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-F-SPECIAL-F-NS741B512TH,F-NS741B512TH,PASS_F,Galaxy Z Flip8 512GB (พาส F),512GB,50900.0,STANDARD_PAYMENT,0,50900.0,business_rules.json,BR-22-ZFLIP8-PASS-F,2,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-F-NS776BLIATHL,F-NS776BLIATHL,PASS_F,Galaxy Z Flip8 256GB (พาส F),256GB,42900.0,TRADE_UP,5000.0,37900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-F-SPECIAL-F-NS776BLIATHL,F-NS776BLIATHL,PASS_F,Galaxy Z Flip8 256GB (พาส F),256GB,42900.0,STANDARD_PAYMENT,0,42900.0,business_rules.json,BR-22-ZFLIP8-PASS-F,2,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-F-NS776BZKATHL,F-NS776BZKATHL,PASS_F,Galaxy Z Flip8 256GB (พาส F),256GB,42900.0,TRADE_UP,5000.0,37900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-F-SPECIAL-F-NS776BZKATHL,F-NS776BZKATHL,PASS_F,Galaxy Z Flip8 256GB (พาส F),256GB,42900.0,STANDARD_PAYMENT,0,42900.0,business_rules.json,BR-22-ZFLIP8-PASS-F,2,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-F-NS776BZWATHL,F-NS776BZWATHL,PASS_F,Galaxy Z Flip8 256GB (พาส F),256GB,42900.0,TRADE_UP,5000.0,37900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-F-SPECIAL-F-NS776BZWATHL,F-NS776BZWATHL,PASS_F,Galaxy Z Flip8 256GB (พาส F),256GB,42900.0,STANDARD_PAYMENT,0,42900.0,business_rules.json,BR-22-ZFLIP8-PASS-F,2,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-F-NS776BLIETHL,F-NS776BLIETHL,PASS_F,Galaxy Z Flip8 512GB (พาส F),512GB,50900.0,TRADE_UP,5000.0,45900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-F-SPECIAL-F-NS776BLIETHL,F-NS776BLIETHL,PASS_F,Galaxy Z Flip8 512GB (พาส F),512GB,50900.0,STANDARD_PAYMENT,0,50900.0,business_rules.json,BR-22-ZFLIP8-PASS-F,2,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-F-NS776BZKETHL,F-NS776BZKETHL,PASS_F,Galaxy Z Flip8 512GB (พาส F),512GB,50900.0,TRADE_UP,5000.0,45900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-F-SPECIAL-F-NS776BZKETHL,F-NS776BZKETHL,PASS_F,Galaxy Z Flip8 512GB (พาส F),512GB,50900.0,STANDARD_PAYMENT,0,50900.0,business_rules.json,BR-22-ZFLIP8-PASS-F,2,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-F-NS776BZWETHL,F-NS776BZWETHL,PASS_F,Galaxy Z Flip8 512GB (พาส F),512GB,50900.0,TRADE_UP,5000.0,45900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-F-SPECIAL-F-NS776BZWETHL,F-NS776BZWETHL,PASS_F,Galaxy Z Flip8 512GB (พาส F),512GB,50900.0,STANDARD_PAYMENT,0,50900.0,business_rules.json,BR-22-ZFLIP8-PASS-F,2,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-SM-F776BLIATHL,SM-F776BLIATHL,STANDARD_SM,Galaxy Z Flip8 256GB,256GB,42900.0,TRADE_UP,5000.0,37900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-SM-F776BZKATHL,SM-F776BZKATHL,STANDARD_SM,Galaxy Z Flip8 256GB,256GB,42900.0,TRADE_UP,5000.0,37900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-SM-F776BZWATHL,SM-F776BZWATHL,STANDARD_SM,Galaxy Z Flip8 256GB,256GB,42900.0,TRADE_UP,5000.0,37900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-SM-F776BLIETHL,SM-F776BLIETHL,STANDARD_SM,Galaxy Z Flip8 512GB,512GB,50900.0,TRADE_UP,5000.0,45900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-SM-F776BZKETHL,SM-F776BZKETHL,STANDARD_SM,Galaxy Z Flip8 512GB,512GB,50900.0,TRADE_UP,5000.0,45900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-ZFLIP8-TU-SM-F776BZWETHL,SM-F776BZWETHL,STANDARD_SM,Galaxy Z Flip8 512GB,512GB,50900.0,TRADE_UP,5000.0,45900.0,business_rules.json,BR-21-ZFLIP8-TRADEUP,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-FOLD8-TU-SM-F971B256TH,SM-F971B256TH,STANDARD_SM,Galaxy Fold8 256GB,256GB,61900.0,TRADE_UP,5000.0,56900.0,business_rules.json,BR-14-FOLD8-TU,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-FOLD8-TU-SM-F971B512TH,SM-F971B512TH,STANDARD_SM,Galaxy Fold8 512GB,512GB,69900.0,TRADE_UP,5000.0,64900.0,business_rules.json,BR-14-FOLD8-TU,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-FOLD8-TU-SM-F971B1TBTH,SM-F971B1TBTH,STANDARD_SM,Galaxy Fold8 1TB,1TB,85900.0,TRADE_UP,7000.0,78900.0,business_rules.json,BR-14-FOLD8-TU,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-FOLD8-TU-SM-F976B256TH,SM-F976B256TH,STANDARD_SM,Galaxy Fold8 Ultra 256GB,256GB,69900.0,TRADE_UP,5000.0,64900.0,business_rules.json,BR-14-FOLD8-TU,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-FOLD8-TU-SM-F976B512TH,SM-F976B512TH,STANDARD_SM,Galaxy Fold8 Ultra 512GB,512GB,77900.0,TRADE_UP,5000.0,72900.0,business_rules.json,BR-14-FOLD8-TU,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
BR-FOLD8-TU-SM-F976B1TBTH,SM-F976B1TBTH,STANDARD_SM,Galaxy Fold8 Ultra 1TB,1TB,93900.0,TRADE_UP,7000.0,86900.0,business_rules.json,BR-14-FOLD8-TU,1,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
